region,school,school_quality_indicator_sub_area,additional_school_quality_indicator_sub_area,organization,service_provided,service_type,date_collected,point_of_contact ,,,,
3,East Oakland Pride Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/01/2011,,,,,
3,East Oakland Pride Elementary,Family & Community Engagement,,Oakland Community Organizations (OCO),Organizes parents and community members,Family Advocate,11/01/2011,,,,,
3,East Oakland Pride Elementary,Family & Community Engagement,,Parent Leadership Action Network (PLAN),"Parent training, leadership development, organizing, and advocacy",Family Advocate,11/01/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,Alameda County Public Health Department,Health and Wellness,Health & Wellness,11/11/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,East Bay Asian Youth Center (EBAYC),Market Manager - produce market,Farmers Market,11/11/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,East Bay Asian Youth Center (EBAYC),Produce Market,Farmers Market,11/11/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,OUSD,2 Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,OUSD,Nurse 0.4 FTE,Health Services,03/12/2012,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,Playworks Sports for Kids,Recess and Physical Education Support,Physical & Recreational Activity,11/11/2011,,,,,
3,East Oakland Pride Elementary,Health & Wellness,,UC Cooperative Extension EFNEP,Health and Wellness,Health & Wellness,11/11/2011,,,,,
3,East Oakland Pride Elementary,School Culture,,HOMIES Empowerment,Gang prevention,Violence Prevention,11/11/2011,,,,,
3,East Oakland Pride Elementary,Strategic Operational Practices,,Oakland Rotary Club,Funds,Funding,11/01/2011,,,,,
3,East Oakland Pride Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,,,,,
Transformation,East Oakland School of the Arts (EOSA),Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,East Oakland School of the Arts (EOSA),"College, Career & Workforce",,Summer Search,"Summer Program, College Advising, Mentoring",Summer Program and Mentoring,11/11/2011,,,,,
Transformation,East Oakland School of the Arts (EOSA),Health & Wellness,,Children's Hospital,Mental Health Services,Mental Health Services,11/01/2011,,,,,
Transformation,East Oakland School of the Arts (EOSA),School Culture,,Restorative Justice for Oakland Youth (RJOY),Restorative Justice Program,Restorative Justice,11/01/2011,,,,,
Transformation,East Oakland School of the Arts (EOSA),Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
2,Edna M Brewer Middle School,Health & Wellness,,OUSD,Nurse 0.4 FTE,Health Services,03/12/2012,,,,,
2,Edna M Brewer Middle School,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/01/2011,,,,,
2,Edna M Brewer Middle School,Extended Learning Time,,Safe Passages,After School Lead Program OUSD,After School Program,11/01/2011,,,,,
2,Edna M Brewer Middle School,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
2,Edna M Brewer Middle School,Health & Wellness,,Alameda County Our Kids Program,Our Kids Mental Health Services,Mental Health Services,11/01/2011,,,,,
2,Edna M Brewer Middle School,Health & Wellness,,Community Health for Asian Americans and Fred Finch Youth Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
2,Edna M Brewer Middle School,School Culture,,OUSD,Positive Behavior Intervention Support (PBIS),Positive Behavior Interventions & Supports (PBIS),11/01/2011,,,,,
2,Edna M Brewer Middle School,School Culture,,OUSD,Restorative Justice Program,Restorative Justice,11/01/2011,,,,,
Transformation,Elmhurst Community Prep,Accelerating Students through Targeted Approaches,,180,Mentoring,Mentoring,04/01/2013,,,,,
Transformation,Elmhurst Community Prep,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,Elmhurst Community Prep,"College, Career & Workforce",Extended Learning Time,Citizen Schools,After school and summer apprenticeship classes for 6th and 7th graders,After School and Summer Program,11/11/2011,,,,,
Transformation,Elmhurst Community Prep,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,Marisa Ramirez,,,,
Transformation,Elmhurst Community Prep,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Oakland Public Conservatory of Music,After School Music,After School Arts Enrichment,11/11/2011,,,,,
Transformation,Elmhurst Community Prep,Extended Learning Time,,Pro Arts,After School Arts,Arts Enrichment,04/01/2013,,,,,
Transformation,Elmhurst Community Prep,Extended Learning Time,Health & Wellness,LifeLong Medical Care,Leadership and Gardening,Leadership Enrichment,04/01/2013,Lamont Snaer ,,,,
Transformation,Elmhurst Community Prep,Extended Learning Time,,Eastside Arts Alliance,After School Arts: Graffiti,Arts Enrichment,04/01/2013,,,,,
Transformation,Elmhurst Community Prep,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
Transformation,Elmhurst Community Prep,Family & Community Engagement,,Oakland Schools Foundation ,Family Engagement and Leadership Initiative (FamELI),Family Resource Center,11/11/2011,"Brian Stanley, Tamara Dukes ",,,,
Transformation,Elmhurst Community Prep,Health & Wellness,,Alameda County Nutrition Services,Our Kids Nutrition Program,Nutrition,11/01/2011,,,,,
Transformation,Elmhurst Community Prep,Health & Wellness,,Dating Matters,Healthy Relationships,Healthy Relationships,04/01/2013,Caroline Miller ,,,,
Transformation,Elmhurst Community Prep,Health & Wellness,,Alameda County Our Kids Program,Our Kids Mental Health Services,Mental Health Services,11/01/2011,Alison McKenzie ,,,,
Transformation,Elmhurst Community Prep,Health & Wellness,,La Clinica de la Raza,Health & Wellness,Health Services,11/11/2011,Gustavo Madrigal ,,,,
Transformation,Elmhurst Community Prep,Health & Wellness,,LifeLong Medical Care,School Based Health Center (SBHC) Elmhurst Campus,School Based Health Center/Health Services,11/11/2011,Lamont Snaer ,,,,
Transformation,Elmhurst Community Prep,Health & Wellness,,Alameda County: Making Proud Choices,Sex Education ,Health Education,04/01/2013,Ysela Jimenez ,,,,
Transformation,Elmhurst Community Prep,Health & Wellness,,Oakland Parks & Recreation (OPR),?,Physical & Recreational Activity,11/11/2011,,,,,
Transformation,Elmhurst Community Prep,Health & Wellness,Extended Learning Time,Seneca Center,"Health and Wellness, also provide a summer on site case manager",Health Services,11/01/2011,Emily Marsh ,,,,
Transformation,Elmhurst Community Prep,School Culture,,Safe Passages,Conflict Mediation ,Conflict Mediation,04/01/2013,Demetrie Broxton,,,,
Transformation,Elmhurst Community Prep,School Culture,,Youth Alive: Teens on Target,School Climate/Violence Prevention,Violence Prevention,04/01/2013,Demetria Huntsman ,,,,
Transformation,Elmhurst Community Prep,School Culture,,OUSD-TUPE,"Alcohol, Tobacco and Drug Prevention ",Substance Abuse Education,04/01/2013,Robert Dousa,,,,
Transformation,Elmhurst Community Prep,School Culture,,Oakland Police Department: OK Program,Safety/Mentoring,Mentoring,04/01/2013,"Marc Oliver, W. Earl Seay, Erich Cumby",,,,
Transformation,Elmhurst Community Prep,School Culture,,Girl Scouts,After School Self-Esteem Group,After School Girl Group,11/11/2011,,,,,
Transformation,Elmhurst Community Prep,Transitions & Pathways PreK-12,,Safe Passages,6th and 8th Grade Transitions/Mentoring,Mentoring,11/01/2011,Demetrie Broxton,,,,
Transformation,Elmhurst Community Prep,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,"Girls, Inc.",After School operation smart program youth leadership and science based,After School Girl Group,11/11/2011,,,,,
Transformation,Elmhurst Community Prep,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,Cinthya Molina ,,,,
1,Emerson Elementary,Balanced Literacy & Literacy Across the Curriculum,,Experience Corps,Literacy Development,Academic Literacy Support,11/11/2011,,,,,
1,Emerson Elementary,Balanced Literacy & Literacy Across the Curriculum,,UC Berkeley SAGE Mentorship Program UC Berkeley,Storytelling,Literacy Enrichment,11/11/2011,,,,,
1,Emerson Elementary,"College, Career & Workforce",,Junior Achievement ,,College & Career Readiness,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,"College, Career & Workforce",AmeriCorps,"Leadership, Youth Development, Afterschool",After School Enrichment,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,Health & Wellness,Destiny Arts,After School Martial Arts and Hip Hop,After School Enrichment/Physical Activity,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/01/2011,,,,,
1,Emerson Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,Family & Community Engagement,Masonic Lodge,Assemblys for the school,Assemblies,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,,OUSD," Summer Prep Program, ESY classes",Summer Prep Program,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,,Park Day Elementary ,Homework Help for 2nd grade program,Academic Support,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,,UC Berkeley BUILD (Cal Corps Public Service Center - UC Berkeley),Tutoring and Homework Help,Tutoring,11/11/2011,,,,,
1,Emerson Elementary,Extended Learning Time,,UC BUILD (Cal Corps Public Service Center - UC Berkeley),After School UC BUILD program tutoring,Tutoring,11/11/2011,,,,,
1,Emerson Elementary,Family & Community Engagement,Strategic Operational Practices,PTO,"Parent organization, fundraising",Parent Teacher Organization,11/11/2011,,,,,
1,Emerson Elementary,Health & Wellness,,?,Asthma Clinic and Dental check-up,Health Services,11/01/2011,,,,,
1,Emerson Elementary,Health & Wellness,,?,PE Coach in each grade once per two weeks,Physical & Recreational Activity,11/01/2011,,,,,
1,Emerson Elementary,Health & Wellness,,College of the Arts,Three Gardens including fruit orchards,Garden,11/01/2011,,,,,
1,Emerson Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/01/2011,,,,,
1,Emerson Elementary,Health & Wellness,,OUSD,2 Wellness Champions,Coordinated School Health/Nutrition,11/01/2011,,,,,
1,Emerson Elementary,Health & Wellness,,UC Berkeley Team Up for Youth,UC Berkeley Coach for Tennis Program and Football Coach,Physical & Recreational Activity,11/01/2011,,,,,
1,Emerson Elementary,Health & Wellness,,United States Tennis Association,Tennis Lessons,Physical & Recreational Activity,11/11/2011,,,,,
1,Emerson Elementary,Health & Wellness,,Whole Foods ,Salad Bar,Salad Bar,11/01/2011,,,,,
1,Emerson Elementary,School Culture,,Developmental Studies Center,Caring School Community Program,Violence Prevention,11/11/2011,,,,,
1,Emerson Elementary,"Science, Technology, Engineering & Mathematics (STEM)",,YWCA Tech Girls,Computer lab,Technology Education,11/11/2011,,,,,
1,Emerson Elementary,Strategic Operational Practices,,Randy Reed Keys & Security Company,Keys and Security - donate to the school,Funding,11/11/2011,,,,,
1,Emerson Elementary,Transitions & Pathways PreK-12,Extended Learning Time,Bay Tech International High School,Assistant for Kindergarten,Academic Support,11/11/2011,,,,,
1,Emerson Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early Childhood,Early Childhood Education,11/11/2011,,,,,
1,Emerson Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early Childhood education 8:00am - 5:00pm,Early Childhood Education,11/11/2011,,,,,
3,EnCompass Academy Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
3,EnCompass Academy Elementary,Extended Learning Time,,AmeriCorps,Enrichment,Academic Support,11/11/2011,,,,,
3,EnCompass Academy Elementary,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,EnCompass Academy Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
3,EnCompass Academy Elementary,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/11/2011,,,,,
3,EnCompass Academy Elementary,Family & Community Engagement,,Oakland Schools Foundation ,Family Engagement and Leadership Initiative (FamELI),Family Resource Center,11/11/2011,,,,,
3,EnCompass Academy Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/01/2011,,,,,
3,EnCompass Academy Elementary,Health & Wellness,,OUSD,Wellness Champion,Coordinated School Health/Nutrition,11/01/2011,,,,,
3,EnCompass Academy Elementary,Health & Wellness,,OUSD Nutritional Services,Nutrition,Nutrition,11/01/2011,,,,,
3,EnCompass Academy Elementary,Health & Wellness,,Wright Institute,Mental Health Services,Mental Health Services,11/01/2011,,,,,
3,EnCompass Academy Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/01/2011,,,,,
3,EnCompass Academy Elementary,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
3,Esperanza Academy Elementary,Balanced Literacy & Literacy Across the Curriculum,,Sylvan Learning Center,Literacy Program ,Academic Support,11/11/2011,,,,,
3,Esperanza Academy Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Art Esteem,Art Program,Arts Enrichment,11/11/2011,,,,,
3,Esperanza Academy Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Esperanza Academy Elementary,Extended Learning Time,Balanced Literacy & Literacy Across the Curriculum,Museum of Children's Art (MOCHA),"After School performing arts, visual arts, dance",After School Arts Enrichment,11/11/2011,,,,,
3,Esperanza Academy Elementary,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
3,Esperanza Academy Elementary,Extended Learning Time,Accelerating Students through Targeted Approaches,Tutor Works,Supplemental Educational Services (SES) Academic Support,SES Tutoring,11/11/2011,,,,,
3,Esperanza Academy Elementary,Family & Community Engagement,,Oakland Community Organizations (OCO),Organizes parents and community members,Family Advocate,11/11/2011,,,,,
3,Esperanza Academy Elementary,Family & Community Engagement,,OUSD,"Migrant Education Parent Workshops (academic, health, other depending on need)",Parent Workshops,11/11/2011,,,,,
3,Esperanza Academy Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
3,Esperanza Academy Elementary,Health & Wellness,,East Bay Asian Youth Center (EBAYC),Produce Market,Farmers Market,11/11/2011,,,,,
3,Esperanza Academy Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
3,Esperanza Academy Elementary,Health & Wellness,,Lincoln Child Center,Mental Health and Family Engagement ,Mental Health Services,11/01/2011,,,,,
3,Esperanza Academy Elementary,Health & Wellness,,OUSD,Nurse 0.4 FTE (Shared with Korematsu),Health Services,11/01/2011,,,,,
3,Esperanza Academy Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/01/2011,,,,,
3,Esperanza Academy Elementary,School Culture,"College, Career & Workforce",Upward Roots,Work with student council twice a week and completed three Service Sundays in 2011. Weekly after school community service projects.,Community Service,11/01/2011,,,,,
3,Esperanza Academy Elementary,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,Bay Area Community Resources (BACR),After School computer classes (FastForward),After School Enrichment,11/11/2011,,,,,
3,Esperanza Academy Elementary,"Science, Technology, Engineering & Mathematics (STEM)","College, Career & Workforce",Chabot Space and Science Center,TechBridge Engineering Career Prep/Science Enrichment,Science Education/Career Prep,11/01/2011,,,,,
High School,Far West High School,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
High School,Far West High School,"College, Career & Workforce",Balanced Literacy & Literacy Across the Curriculum,California College of the Arts,Courses in visual and media arts,Arts Enrichment/Mentoring,11/11/2011,,,,,
High School,Far West High School,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/01/2011,,,,,
High School,Far West High School,Health & Wellness,,Lincoln Child Center,Mental Health Services,Mental Health Services,11/01/2011,,,,,
High School,Far West High School,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/01/2011,,,,,
2,Franklin Elementary,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Franklin Elementary,Extended Learning Time,,East Bay Asian Youth Center (EBAYC),"Summer EBAYC Enrichment, ESY Classes, Migrant and Refugee Education, Adult Education, Special Education",Summer Prep Program,11/11/2011,,,,,
2,Franklin Elementary,Health & Wellness,,?,Garden ,Garden,11/11/2011,,,,,
2,Franklin Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/11/2011,,,,,
2,Franklin Elementary,Health & Wellness,,Ann Martin Children's Center,Mental Health Services,Mental Health Services,11/11/2011,,,,,
2,Franklin Elementary,Health & Wellness,,FRESH Produce Market,Farmers Market,Farmers Market,11/11/2011,,,,,
2,Franklin Elementary,Health & Wellness,,OUSD,Nurse 1.0 FTE,Health Services,11/11/2011,,,,,
2,Franklin Elementary,Health & Wellness,,Playworks Sports for Kids,Physical and Recreational Activity,Physical & Recreational Activity,11/11/2011,,,,,
2,Franklin Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/11/2011,,,,,
Transformation,Fremont Federation of High Schools,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
Transformation,Fremont Federation of High Schools,"College, Career & Workforce",,College Track,College and Career Prep,College Preparation,11/11/2011,,,,,
Transformation,Fremont Federation of High Schools,Extended Learning Time,Transitions & Pathways PreK-12,OUSD, Summer Prep Program for identified students in need of academic supports; Bridge Program for rising 9th graders (21st century funds pulled by all 3 sites),Summer Prep Program,11/01/2011,,,,,
Transformation,Fremont Federation of High Schools,Health & Wellness,,"Girls, Inc.",Mental Health Services,Mental Health Services,11/01/2011,,,,,
Transformation,Fremont Federation of High Schools,Health & Wellness,,La Clinica de la Raza,School Based Health Center (SBHC) Tiger Clinic,School Based Health Center/Health Services,11/11/2011,,,,,
Transformation,Fremont Federation of High Schools,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,11/11/2011,,,,,
Transformation,Fremont Federation of High Schools,School Culture,,Libré,Youth development/gang intervention,Violence Prevention,11/11/2011,,,,,
Transformation,Freshman Prep Academy,Health & Wellness,,Children's Hospital,Mental Health Services,Mental Health Services,11/01/2011,,,,,
Transformation,Freshman Prep Academy,School Culture,,Restorative Justice for Oakland Youth (RJOY),Restorative Justice Program,Restorative Justice,11/01/2011,,,,,
3,Frick Middle School,Accelerating Students through Targeted Approaches,Extended Learning Time,"Girls, Inc.",Extended Learning: After school girl group,After School Girl Group,11/11/2011,,,,,
3,Frick Middle School,Accelerating Students through Targeted Approaches,,OK Progarm,Mentoring,Mentoring,06/13/2013,Officer Richard Williams,,,,
3,Frick Middle School,Balanced Literacy & Literacy Across the Curriculum,,Safe Passages/Americorps,"Push in/pull out, after school support to BB, FBB students, or SRI that place them in a similar category",Academic support school day and after school,06/13/2013,Demetrie Broxton,,,,
3,Frick Middle School,Building Capacity & Leadership,,East Bay Agency for Children,Staff PD around vicarious trauma,Professional development,06/13/2013,Kara Schmitt,,,,
3,Frick Middle School,"College, Career & Workforce",,Spark,"Apprenticeships, leadership curriculum, college tours",After school apprenticeships,06/13/2013,Rebecca Velasco,,,,
3,Frick Middle School,Extended Learning Time,,Rogers Family Foundation,Saturday School,Saturday School,11/01/2011,Tamara Dukes,,,,
3,Frick Middle School,Extended Learning Time,,Oakland Schools Foundation ,Extended Learning Collaborative Program,After School Intervention,11/01/2011,Tamara Dukes,,,,
3,Frick Middle School,Extended Learning Time,,OUSD, Summer Prep Program,Summer Prep Program,11/11/2011,,,,,
3,Frick Middle School,Extended Learning Time,,Safe Passages,After School Lead Program OUSD,After School Program,11/01/2011,Demetria Broxton,,,,
3,Frick Middle School,Family & Community Engagement,,SSC Site Council,"Develop, review, and evaluate school improvement programs and school budgets",School Site Council,06/13/2013,Jerome Gourdine,,,,
3,Frick Middle School,Health & Wellness,,East Bay Agency for Children,Mental Health Services,"Individual and group counseling, staff training and crisis response",06/13/2013,Alinya Charron,,,,
3,Frick Middle School,Health & Wellness,,East Bay Agency for Children,Lead agency for School Based Health Center (SBHC),School Based Health Center/Health Services,11/11/2011,Alinya Charron,,,,
3,Frick Middle School,Health & Wellness,,Native American Health Center & Lead Agency East Bay Agency for Children,School Based Health Center (SBHC) Medical Provider,Physical Health Services,06/13/2013,Alinya Charron,,,,
3,Frick Middle School,Health & Wellness,,OUSD,2 Wellness Champions,Coordinated School Health/Nutrition,11/11/2011,Timeka Clay,,,,
3,Frick Middle School,Health & Wellness,,OUSD,Nurse 0.6 FTE,Health Services,03/11/2012,Ozella Faison,,,,
3,Frick Middle School,Health & Wellness,,YMCA Teen Fit Program,Physical education for students,Physical Education,06/13/2013,Kathleen Gushoney,,,,
3,Frick Middle School,Health & Wellness,,ASPIRE,Mental health services,Mental Health Services,06/13/2013,Georgette Cobb,,,,
3,Frick Middle School,Health & Wellness,,TUPE,Drug and alcohol education,Drug and alcohol prevention,06/13/2013,Robert Dousa,,,,
3,Frick Middle School,Interrupting Chronic Absence (Attendance),,Lincoln Child Center,"Behavioral health, mentoring, truancy abatement",Truancy abatement,06/13/2013,Tony Thurmond,,,,
3,Frick Middle School,Interrupting Chronic Absence (Attendance),,Oakland Police Department ,Site safety,Safety,06/13/2013,Lt. Lerone Armstrong,,,,
3,Frick Middle School,School Culture,,Alameda County Public Health Department,Teen Dating Violence Education,Violence Prevention,11/11/2011,Julie Garcia,,,,
3,Frick Middle School,School Culture,,Restorative Justice ,Lunchtime facilitation of positive decision making ,Restorative Justice,06/13/2013,David Yusem,,,,
3,Frick Middle School,School Culture,,OUSD,Positive Behavior Intervention Support (PBIS),Positive Behavior Interventions & Supports (PBIS),11/11/2011,Kevin Edwards,,,,
3,Frick Middle School,"Science, Technology, Engineering & Mathematics (STEM)",Extended Learning Time,Girls Tech Bridge/Safe Passages,STEM based programming after school for girls,After School Science,06/13/2013,Matt Hurley,,,,
3,Frick Middle School,Strategic Operational Practices,,Oakland Schools Foundation,"COR Services (Community outreach and communications, resources development, grants development, fundraising, materials production, leadership coaching, donor relations, fiscal sponsorship)",Funding,11/11/2011,Tamara Dukes,,,,
3,Frick Middle School,Transitions & Pathways PreK-12,,Safe Passage/Americorps,Transitions Programming,Academic support school day and after school,06/13/2013,Demetrie Broxton,,,,
2,Fruitvale Elementary,Balanced Literacy & Literacy Across the Curriculum,Extended Learning Time,Learning for Life,After School Reading Intervention,After School Literacy,11/11/2011,,,,,
2,Fruitvale Elementary,Extended Learning Time,"College, Career & Workforce",Future Chef's Academy (R and D Consultants Reggie Mack),After School Culinary and Leadership Program,After School Enrichment,11/01/2011,,,,,
2,Fruitvale Elementary,Extended Learning Time,,Learning for Life,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
2,Fruitvale Elementary,Extended Learning Time,,OUSD,Summer Program hosting Manzanita Community,Summer Prep Program,11/11/2011,,,,,
2,Fruitvale Elementary,Family & Community Engagement,,VISTA,Family Coordinator,Family Engagement,11/11/2011,,,,,
2,Fruitvale Elementary,Health & Wellness,,?,Farmers Market,Farmers Market,11/01/2011,,,,,
2,Fruitvale Elementary,Health & Wellness,,Alameda County Nutrition Services,Nutrition Education,Nutrition,11/01/2011,,,,,
2,Fruitvale Elementary,Health & Wellness,Extended Learning Time,"Hector Lugo, Independent Contractor",Latin Drum Class,Arts Enrichment/Physical & Recreational Activity,11/11/2011,,,,,
2,Fruitvale Elementary,Health & Wellness,,Independent Contractor: Julia Chimunga,Julia Chimunga: West African Dance Class ,Arts Enrichment/Physical & Recreational Activity,11/11/2011,,,,,
2,Fruitvale Elementary,Health & Wellness,,OUSD,Nurse .8 FTE,Health Services,03/12/2012,,,,,
2,Fruitvale Elementary,School Culture,,OUSD,Second Step Program Violence Prevention,Violence Prevention,11/01/2011,,,,,
2,Fruitvale Elementary,"Science, Technology, Engineering & Mathematics (STEM)",,Bay Area Community Resources (BACR) & AmeriCorps,"Science education, nutrition, gardening, physical education, engineering",Science Education/Nutrition,11/11/2011,,,,,
2,Fruitvale Elementary,"Science, Technology, Engineering & Mathematics (STEM)","College, Career & Workforce",Bechtel & Learning for Life,After School Engineering Career Prep/Science Enrichment,Science Education/Career Prep,11/01/2011,,,,,
2,Fruitvale Elementary,Transitions & Pathways PreK-12,,Childhood Development Center,Early Childhood Education 8:30am - 3:00pm,Early Childhood Education,11/11/2011,,,,,
2,Fruitvale Elementary ,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
2,Fruitvale Elementary ,School Culture,Health & Wellness,TransForm,Safe Routes To Schools,Violence Prevention/Physical Activity,11/11/2011,,,,,
3,Futures Elementary,Building Capacity & Leadership,,The National Equity Project,"Principal and leadership team coaching (school design, culture, instructional leadership, professional learning communities), site-based instructional professional development (formative assessment, data-based instructional planning, literacy and math coaching, culturally responsive instruction), and school redesign (SLC, advisory, master schedule).",Professional Development and Principal Coaching,11/11/2011,,,,,
3,Futures Elementary,Extended Learning Time,,Aspiranet,After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Futures Elementary,Extended Learning Time,,Bay Area Community Resources (BACR),After School Lead Program OUSD,After School Program,11/11/2011,,,,,
3,Futures Elementary,Extended Learning Time,,"Faith Network of the East Bay, Inc.",Classroom and After School volunteers,Academic Support,11/11/2011,,,,,
3,Futures Elementary,Extended Learning Time,Transitions & Pathways PreK-12,OUSD,Summer Pre-K Camp at CUES,Summer Prep Program,11/11/2011,,,,,
3,Futures Elementary,Health & Wellness,,East Bay Agency for Children,Mental Health Services,Mental Health Services,11/11/2011,,,,,
3,Futures Elementary,Health & Wellness,,East Bay Asian Youth Center (EBAYC),Produce Market,Farmers Market,11/11/2011,,,,,
